"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~D_div_W","fresh_weight~width+height","fresh_weight~width*height","fresh_weight~width+D_div_W","fresh_weight~width*D_div_W","fresh_weight~width+thickness","fresh_weight~width*thickness","fresh_weight~height+D_div_W","fresh_weight~height*D_div_W","fresh_weight~height+thickness","fresh_weight~height*thickness","fresh_weight~D_div_W+thickness","fresh_weight~D_div_W*thickness","fresh_weight~width+height+D_div_W","fresh_weight~width*height*D_div_W","fresh_weight~width+height+thickness","fresh_weight~width*height*thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width+height+D_div_W+thickness","fresh_weight~width*height*D_div_W*thickness"
"242",0.718900974214326,0.459030405600448,0.61179963306417,0.0836508990985992,0.129092203199336,0.883931217114022,0.907289639182019,0.897033675006172,0.894714319501457,0.750606734629402,0.740298883459743,0.832002684944701,0.91169943635653,0.533375043669152,0.538809287656467,0.200398084893888,0.243133002356257,0.893437504940541,0.9594610845786,0.923440205242187,0.958524449601156,0.921857566043047,0.943564616914891,0.890371074104115,0.942011552253459,0.924257057212883,0.97409343915832
"246",0.48883473195002,0.198707942267728,0.528247501183919,0.0486782873106639,0.0483701948918724,0.650411793115259,0.717363662837451,0.687373978134406,0.736860158308903,0.550324865861234,0.600180105192982,0.571970494855679,0.63504732579289,0.316196807090729,0.367222548014682,0.0911472336560097,0.127906301033008,0.679602481563624,0.79548151129215,0.772090640356696,0.830923569293152,0.780252785179638,0.866459764758947,0.725234350872841,0.753748956736561,0.773057531492211,0.878494314652241
"319",0.402282318650985,0.515229363142802,0.639297439935099,0.156026990092056,-0.0349164019985169,0.767119640239716,0.764284980414878,0.725449988978792,0.766338561120719,0.49208395873523,0.47336245369727,0.726333358601552,0.735153736301581,0.588682313514397,0.574519169971249,0.126832146808436,0.0933690947711052,0.757823138651016,0.74048319149747,0.815605942108701,0.81679612573188,0.790860435049756,0.859921055164696,0.768748298706312,0.771305192652634,0.810085500748271,0.869735680709286
"325",0.618468633830789,0.36060182713358,0.742859545892055,0.178842464598791,0.0705581556889646,0.784663500487997,0.785807289954447,0.817224922915703,0.821895459794958,0.758779629757317,0.756143211015238,0.699510253317093,0.692894091747728,0.420160163419883,0.424313400055954,0.282629552982647,0.268702988109155,0.810401336726013,0.808570038111395,0.858279315472513,0.843556339783669,0.901173096448378,0.896075618258857,0.759235540828761,0.767196299641668,0.90496424383594,0.91318197430295
"326",0.724436254462962,0.710919775425203,0.865762503148531,0.253835356927496,-0.00577444184863363,0.836632312454166,0.841997622697581,0.878432444471654,0.877448129476172,0.774928858536194,0.775638468945187,0.750808175492242,0.757874309330895,0.815988698394067,0.81289586799518,0.294992018981138,0.300964950682462,0.874709260442657,0.870138347079039,0.895567383620143,0.914934049265411,0.95301808498744,0.957483385725418,0.826383307120949,0.81953498791381,0.955101086737709,0.954022384431736
"390",0.451821034545709,0.340843128935138,0.583965533043617,0.367397281435392,-0.020234842427777,0.592008960671681,0.58448660360661,0.582038091063137,0.58783469913844,0.765120294387537,0.77429526770494,0.553552694772536,0.536028621702644,0.612033728601104,0.597496070188834,0.367312076979027,0.34230812086608,0.576454910556986,0.539972629084413,0.860039748292749,0.883436021809816,0.862543316765976,0.888761786150638,0.813544259254038,0.804100101499248,0.859062906942756,0.858925022686602
"572",0.45349683634256,0.496278670922357,0.660974303697374,0.146440358812969,0.00713082986191826,0.561594922587416,0.545631216216827,0.674300664377095,0.675259143214614,0.588677454883565,0.572857360988528,0.481160994861064,0.59196339633092,0.653404129569174,0.640338477906631,0.169788342394738,0.16777907634964,0.675121723700242,0.67054522971511,0.713319017620425,0.721219909910807,0.838109059986858,0.867219722482075,0.641144186117325,0.691207494066394,0.846805107667153,0.899215632464271
"580",0.32706994338082,0.138678181415118,0.0128522599111018,0.271366269489151,0.0371707255794408,0.454536293250173,0.442989044230525,0.336489641238898,0.323411471554886,0.574456084225711,0.567752686175122,0.34068899228547,0.326152011395491,0.503398680627095,0.488050678170592,0.297293408109165,0.37218438276049,0.435671359045428,0.344550812452423,0.788103104076819,0.793664243313143,0.603819598852982,0.731208094059982,0.709613504384908,0.718766820536493,0.78666164348735,0.852680844990171
"582",0.590790242494458,0.208887351717804,0.554153557388535,0.266552240685655,0.104713563654612,0.70616716360462,0.695383869855935,0.802550319827275,0.803846932035879,0.712652081923876,0.703943108731937,0.491953540747924,0.4753950012995,0.40120491679515,0.39787373392903,0.357202098134212,0.365772621995513,0.79604479646873,0.807398473048263,0.799457321908661,0.769540044342221,0.867329602992307,0.860195375604946,0.636470428576008,0.586811140771004,0.862418980647792,0.899344352902441
"584",0.644358045156229,0.772049511231568,0.889676453808374,0.0349197949295456,0.0237494257899157,0.852581966589651,0.849892097365236,0.889538668726641,0.900834649527782,0.716351763646224,0.706455562984613,0.805386405876779,0.79931638066792,0.820937718844767,0.814182499745042,0.0474724468361469,0.0114217966079113,0.885674195200106,0.91442116042887,0.91691152209408,0.925825852365574,0.944312435137008,0.963222319182112,0.869629315740583,0.922152433799743,0.94209265182679,0.980807860033039
"585",0.499101937502069,0.482839162228096,0.699084095203299,0.639251471945589,-0.0307620794648309,0.626056123537214,0.611563479374335,0.740723738663218,0.750681682892596,0.780068994066822,0.771871766813764,0.493447550747218,0.487225459472542,0.799980305869872,0.805321239181082,0.624829452817546,0.613963527582577,0.739190050656577,0.747434360536918,0.847197102512073,0.834431018619703,0.867263905868103,0.884752072111334,0.814034975495966,0.847319470961615,0.861920568866713,0.888825269800871
"839",0.504474772794084,0.114736365809365,0.701572191042026,0.184834689613383,-0.0292379122526958,0.54314668813718,0.536756598263909,0.702944445180804,0.764296101879664,0.650884465094297,0.665632628678698,0.188519753440797,0.153405672530155,0.428208097661923,0.417683615095261,0.153928945270487,0.117318559129261,0.736186865060513,0.735848162037931,0.772438741880069,0.824770991833412,0.886542791775459,0.903398757966377,0.519976444506177,0.559279753046205,0.885149440363903,0.882086370371968
"845",0.681122309725136,0.799268558422383,0.884356453599808,0.132615254941818,0.045509766353632,0.844677484270781,0.864395498599753,0.865534483549133,0.899804889995002,0.765466040894846,0.777307774386231,0.817293915117611,0.819007808875919,0.827089809205835,0.834908650471749,0.147740425155541,0.137063384219814,0.860576658296111,0.901514996234004,0.886153285211983,0.903479318593262,0.911163950949565,0.929871772393177,0.852113133721201,0.85947415698447,0.9085100657871,0.936021781893613
"854",0.628376942311659,0.163717340298364,0.413509896447355,0.132506336132097,0.0662939122391748,0.615554928199427,0.655285297650699,0.623046933985509,0.611895808869145,0.751423583741773,0.770256917999033,0.401361322855105,0.379538980913984,0.514656795849583,0.497162323497529,0.134310803249712,0.18666953514296,0.652104341169594,0.676222931201742,0.773423660056742,0.791609086499372,0.81010079860985,0.841553685324071,0.629175473471198,0.795993991634096,0.810115446268304,0.881957503111052
"All",0.543969942928872,0.374673047508856,0.6505728362005,0.37736661605904,0.0297797298299414,0.788636082057175,0.801626271656866,0.74134002264863,0.810306422108557,0.753977428287106,0.767526261042881,0.70398892004658,0.711384630892652,0.587354905994208,0.586367108586988,0.400453731698249,0.400366614314239,0.788827775862047,0.826384589422474,0.907825133787939,0.942699188259315,0.893335444945198,0.942402377288673,0.822559350589717,0.862288641844218,0.911864753526467,0.954313945722283
