abbr_model,accession,statistic
W,All,0.70783118
W,242,0.667363169
W,246,0.660860267
W,319,0.475363586
W,325,0.525953396
W,326,0.585693577
W,390,0.542662568
W,572,0.606270565
W,580,0.608265919
W,582,0.413162897
W,584,0.49726921
W,585,0.557587607
W,839,0.739680667
W,845,0.547299884
W,854,0.287185229
H,All,0.828529155
H,242,0.869074261
H,246,0.821137815
H,319,0.745979251
H,325,0.707228303
H,326,0.584288833
H,390,0.625654117
H,572,0.546025093
H,580,0.811433854
H,582,0.766326841
H,584,0.501714851
H,585,0.58141348
H,839,0.798750278
H,845,0.41364544
H,854,0.887805371
D,All,0.748262133
D,242,0.768886042
D,246,0.556707781
D,319,0.966807894
D,325,0.320281452
D,326,0.300528858
D,390,0.516916269
D,572,0.34099612
D,580,0.884978624
D,582,0.475276136
D,584,0.860431299
D,585,0.723760626
D,839,0.332163578
D,845,0.179154021
D,854,0.868899371
T,All,0.840466048
T,242,0.897165571
T,246,0.991988808
T,319,0.930708913
T,325,0.911570656
T,326,0.907425953
T,390,0.745319902
T,572,0.936087017
T,580,0.883387566
T,582,0.803042607
T,584,0.99083571
T,585,0.744626514
T,839,0.986057827
T,845,0.970678419
T,854,0.910753387
D/W,All,1
D/W,242,1
D/W,246,1
D/W,319,0.931163695
D/W,325,1
D/W,326,1
D/W,390,1
D/W,572,1
D/W,580,1
D/W,582,1
D/W,584,1
D/W,585,1
D/W,839,1
D/W,845,1
D/W,854,1
W+H,All,0.449071723
W+H,242,0.601109088
W+H,246,0.465128435
W+H,319,0.399505131
W+H,325,0.260139694
W+H,326,0.388831794
W+H,390,0.382939303
W+H,572,0.529452019
W+H,580,0.477878419
W+H,582,0.247019457
W+H,584,0.258029409
W+H,585,0.490439516
W+H,839,0.71763615
W+H,845,0.324226729
W+H,854,0.367656897
W*H,All,0.431485361
W*H,242,0.349022202
W*H,246,0.427805242
W*H,319,0.439742381
W*H,325,0.304732136
W*H,326,0.412208512
W*H,390,0.430962092
W*H,572,0.577580911
W*H,580,0.537255085
W*H,582,0.304778929
W*H,584,0.269665704
W*H,585,0.545883216
W*H,839,0.756064418
W*H,845,0.320569242
W*H,854,0.31165431
W+D,All,0.520714078
W+D,242,0.523747633
W+D,246,0.344438253
W+D,319,0.523059594
W+D,325,0.17312592
W+D,326,0.273503765
W+D,390,0.420830498
W+D,572,0.388837832
W+D,580,0.626516275
W+D,582,0.147813324
W+D,584,0.507647052
W+D,585,0.56510207
W+D,839,0.370442476
W+D,845,0.198860944
W+D,854,0.365706039
W*D,All,0.525097536
W*D,242,0.278662398
W*D,246,0.302236989
W*D,319,0.206578568
W*D,325,0.195256327
W*D,326,0.298756039
W*D,390,0.450155553
W*D,572,0.43799574
W*D,580,0.655843083
W*D,582,0.116194102
W*D,584,0.534031225
W*D,585,0.546433933
W*D,839,0.3957892
W*D,845,0.183767637
W*D,854,0.443012518
W+T,All,0.488875738
W+T,242,0.528385824
W+T,246,0.620508758
W+T,319,0.406589997
W+T,325,0.367953826
W+T,326,0.608118732
W+T,390,0.241099035
W+T,572,0.481541365
W+T,580,0.460775838
W+T,582,0.247795184
W+T,584,0.445931606
W+T,585,0.248971385
W+T,839,0.688359588
W+T,845,0.480382958
W+T,854,0.082811839
W*T,All,0.469718386
W*T,242,0.528930754
W*T,246,0.646440354
W*T,319,0.471544168
W*T,325,0.410076935
W*T,326,0.548856168
W*T,390,0.258658281
W*T,572,0.537631426
W*T,580,0.528747475
W*T,582,0.292526242
W*T,584,0.485589775
W*T,585,0.281454255
W*T,839,0.666050003
W*T,845,0.488980729
W*T,854,0.077691866
H+D,All,0.741304547
H+D,242,0.776136235
H+D,246,0.290390685
H+D,319,0.824109194
H+D,325,0.243786741
H+D,326,0.30445015
H+D,390,0.554296254
H+D,572,0.377743687
H+D,580,0.856335691
H+D,582,0.519021039
H+D,584,0.494818569
H+D,585,0.617478408
H+D,839,0.259103339
H+D,845,0.188140685
H+D,854,0.879544412
H*D,All,0.735858817
H*D,242,0.795014012
H*D,246,0.316663654
H*D,319,0.627900207
H*D,325,0.243741635
H*D,326,0.337541257
H*D,390,0.593487868
H*D,572,0.432119742
H*D,580,0.921261432
H*D,582,0.512938053
H*D,584,0.475900361
H*D,585,0.648238706
H*D,839,0.300549829
H*D,845,0.158808102
H*D,854,0.80143378
H+T,All,0.678712311
H+T,242,0.710860093
H+T,246,0.802316354
H+T,319,0.759868003
H+T,325,0.698162548
H+T,326,0.434530201
H+T,390,0.439761253
H+T,572,0.391408775
H+T,580,0.603095146
H+T,582,0.646173223
H+T,584,0.476657651
H+T,585,0.149509951
H+T,839,0.660470042
H+T,845,0.327340712
H+T,854,0.535340905
H*T,All,0.683575882
H*T,242,0.720423119
H*T,246,0.847230341
H*T,319,0.612001683
H*T,325,0.739653667
H*T,326,0.467774842
H*T,390,0.487392136
H*T,572,0.447108939
H*T,580,0.621854124
H*T,582,0.678643741
H*T,584,0.516498656
H*T,585,0.205529069
H*T,839,0.662177552
H*T,845,0.34859425
H*T,854,0.61704702
D+T,All,0.601553056
D+T,242,0.632247043
D+T,246,0.494647246
D+T,319,1
D+T,325,0.277610693
D+T,326,0.051116306
D+T,390,0.208148482
D+T,572,0.018066327
D+T,580,0.704612545
D+T,582,0.390922066
D+T,584,0.889812709
D+T,585,0.377691669
D+T,839,0.007815001
D+T,845,0.013616512
D+T,854,0.747205316
D*T,All,0.604514174
D*T,242,0.587599763
D*T,246,0.524401615
D*T,319,0.923391378
D*T,325,0.224771068
D*T,326,0.054904574
D*T,390,0.24499371
D*T,572,0
D*T,580,0.755090294
D*T,582,0.441505116
D*T,584,0.662138694
D*T,585,0.376339031
D*T,839,0
D*T,845,0.032624958
D*T,854,0.719031517
W+H+D,All,0.438584548
W+H+D,242,0.529338587
W+H+D,246,0.296145077
W+H+D,319,0.472085375
W+H+D,325,0.218337051
W+H+D,326,0.305195274
W+H+D,390,0.422019031
W+H+D,572,0.426792147
W+H+D,580,0.54600886
W+H+D,582,0.205435
W+H+D,584,0.284208891
W+H+D,585,0.545703504
W+H+D,839,0.299536276
W+H+D,845,0.22426958
W+H+D,854,0.444797097
W*H*D,All,0.432207391
W*H*D,242,0.19008975
W*H*D,246,0.436626454
W*H*D,319,0.105111693
W*H*D,325,0.372386072
W*H*D,326,0.429659877
W*H*D,390,0.598667227
W*H*D,572,0.610913398
W*H*D,580,0.77985634
W*H*D,582,0.269393151
W*H*D,584,0.382128304
W*H*D,585,0.429763065
W*H*D,839,0.426146436
W*H*D,845,0.283013126
W*H*D,854,0.360436137
W+H+T,All,0.160821343
W+H+T,242,0.366836358
W+H+T,246,0.301622527
W+H+T,319,0.320982256
W+H+T,325,0.106481827
W+H+T,326,0.327509565
W+H+T,390,0.029614817
W+H+T,572,0.328188255
W+H+T,580,0
W+H+T,582,0.083207742
W+H+T,584,0.1113571
W+H+T,585,0
W+H+T,839,0.515915286
W+H+T,845,0.182867037
W+H+T,854,0
W*H*T,All,0
W*H*T,242,0.128954004
W*H*T,246,0.25518515
W*H*T,319,0
W*H*T,325,0.258447931
W*H*T,326,0.278892243
W*H*T,390,0.029981694
W*H*T,572,0.45952524
W*H*T,580,0.125954918
W*H*T,582,0.299505603
W*H*T,584,0.059846579
W*H*T,585,0.179491753
W*H*T,839,0.429585775
W*H*T,845,0.230032103
W*H*T,854,0.126229353
W+D+T,All,0.283411425
W+D+T,242,0.268150061
W+D+T,246,0.147807241
W+D+T,319,0.476449477
W+D+T,325,0
W+D+T,326,0.084938806
W+D+T,390,0
W+D+T,572,0.055124098
W+D+T,580,0.341348976
W+D+T,582,0
W+D+T,584,0.46834226
W+D+T,585,0.166208167
W+D+T,839,0.007547846
W+D+T,845,0.010237458
W+D+T,854,0.166555772
W*D*T,All,0.240109994
W*D*T,242,0.030161046
W*D*T,246,0
W*D*T,319,0.090269319
W*D*T,325,0.056917036
W*D*T,326,0.026357498
W*D*T,390,0.015388302
W*D*T,572,0.052079009
W*D*T,580,0.440469983
W*D*T,582,0.050729713
W*D*T,584,0.340500399
W*D*T,585,0.264386091
W*D*T,839,0.051865521
W*D*T,845,0.092171809
W*D*T,854,0.281307595
H+D+T,All,0.594157249
H+D+T,242,0.656554427
H+D+T,246,0.18543924
H+D+T,319,0.837206961
H+D+T,325,0.130485607
H+D+T,326,0.063219483
H+D+T,390,0.256141396
H+D+T,572,0.026933123
H+D+T,580,0.581495149
H+D+T,582,0.436809095
H+D+T,584,0.479832899
H+D+T,585,0.149019168
H+D+T,839,0.021252914
H+D+T,845,0.009586703
H+D+T,854,0.503047036
H*D*T,All,0.592699553
H*D*T,242,0.544863526
H*D*T,246,0.135211564
H*D*T,319,0.4728356
H*D*T,325,0.089988202
H*D*T,326,0
H*D*T,390,0.267315671
H*D*T,572,0.023603355
H*D*T,580,0.761973987
H*D*T,582,0.537863625
H*D*T,584,0.323666596
H*D*T,585,0.199415397
H*D*T,839,0.15046083
H*D*T,845,0
H*D*T,854,0.379972778
W+H+D+T,All,0.152176649
W+H+D+T,242,0.290707538
W+H+D+T,246,0.116456959
W+H+D+T,319,0.399568615
W+H+D+T,325,0.041036766
W+H+D+T,326,0.10059698
W+H+D+T,390,0.020950543
W+H+D+T,572,0.065709472
W+H+D+T,580,0.025320249
W+H+D+T,582,0.054895859
W+H+D+T,584,0.148020358
W+H+D+T,585,0.035716662
W+H+D+T,839,0.027291655
W+H+D+T,845,0.032520391
W+H+D+T,854,0.082840461
W*H*D*T,All,0.012242363
W*H*D*T,242,0
W*H*D*T,246,0.181528856
W*H*D*T,319,0.000454092
W*H*D*T,325,0.351126376
W*H*D*T,326,0.221467376
W*H*D*T,390,0.226625661
W*H*D*T,572,0.200241707
W*H*D*T,580,0.507504166
W*H*D*T,582,0.238717235
W*H*D*T,584,0
W*H*D*T,585,0.393982326
W*H*D*T,839,0.321461516
W*H*D*T,845,0.120674578
W*H*D*T,854,0.278480094
